"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chris Brooks","MIA","6.9","29.4","0.2","3.2","21.9","0.2","0.1","8.7"
"Salvon Ahmed","MIA","2.2","30.4","0.0","4.1","29.7","0.1","0.0","8.6"
"Michael Burton","DEN","5.1","20.7","0.1","4.0","26.4","0.2","0.1","8.2"
"DeeJay Dallas","ARI","5.3","30.3","0.1","3.7","24.5","0.0","0.0","7.9"
"Avery Williams","ATL","4.4","18.3","0.2","3.3","22.4","0.2","0.0","7.7"
"Darrynton Evans","BUF","5.1","20.8","0.1","3.1","23.1","0.2","0.0","7.6"
"Travis Homer","CHI","2.3","32.3","0.0","3.1","22.1","0.1","0.0","7.5"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.5","33.7","0.3","0.0","7.3"
"Malik Davis","DAL","2.3","32.1","0.0","2.6","19.5","0.1","0.0","7.0"
"Giovanni Ricci","CLE","2.4","10.0","0.0","4.0","28.5","0.2","0.0","6.9"
"Tucker Fisk","LAC","0.0","0.0","0.0","4.4","31.3","0.2","0.0","6.7"
"Adam Prentice","NO","3.3","14.0","0.1","3.3","23.1","0.1","0.0","6.5"
"Keilan Robinson","JAC","0.0","33.0","0.0","2.0","15.0","0.0","0.0","5.8"
"Gary Brightwell","JAC","4.3","17.5","0.2","2.0","12.8","0.0","0.0","5.1"
"Hassan Haskins","TEN","2.3","27.6","0.0","1.9","12.4","0.0","0.0","5.0"
"Jake Funk","DET","2.4","9.4","0.0","2.1","16.1","0.2","0.0","4.6"
"Jermar Jefferson","DET","2.4","9.5","0.0","2.1","15.9","0.2","0.0","4.6"
"J.J. Taylor","HOU","2.2","8.8","0.0","2.2","16.2","0.2","0.0","4.6"
"Snoop Conner","DAL","2.3","9.2","0.0","2.1","15.6","0.2","0.0","4.6"
"Elijah Dotson","LAC","2.3","16.6","0.0","2.1","14.8","0.1","0.0","4.5"
"Zach Evans","LAR","2.3","20.6","0.0","1.5","12.1","0.1","0.0","4.5"
"James Robinson","NO","2.4","10.1","0.0","2.1","13.5","0.2","0.0","4.4"
"Khari Blasingame","CHI","2.3","9.3","0.0","2.1","14.5","0.2","0.0","4.4"
"Spencer Brown","ATL","4.7","18.8","0.0","2.0","13.8","0.0","0.0","4.4"
"Patrick Ricard","BAL","2.7","10.9","0.0","1.9","13.1","0.2","0.0","4.3"
"Patrick Taylor Jr.","SF","2.5","13.5","0.0","2.0","13.9","0.1","0.0","4.2"
"John Kelly Jr.","BAL","2.4","9.9","0.0","2.0","13.8","0.1","0.0","4.0"
"C.J. Ham","MIN","2.2","8.6","0.0","2.1","15.4","0.0","0.0","3.7"
"Jakob Johnson","NYG","2.2","8.8","0.0","2.0","12.2","0.0","0.0","3.1"
"Tyrion Davis-Price","PHI","0.0","17.0","0.0","1.0","3.0","0.0","0.0","2.5"
"Mike Boone","CAR","0.0","0.0","0.0","2.0","14.0","0.0","0.0","2.4"
""
""
